127.0.0.1 - - [31/Mar/2026 08:55:00] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 08:57:07] "HEAD /engine.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:02:11] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:02:11] "GET /pou-controller.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:02:11] "GET /engine.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:02:11] "GET /game-state.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:02:11] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:02:11] "GET /minigames.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:17:57] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:17:57] "GET /game-state.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:17:57] "GET /engine.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:17:57] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:17:57] "GET /pou-controller.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 09:17:57] "GET /minigames.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:39:29] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:39:29] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:39:29] "GET /game-state.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:39:29] "GET /minigames.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:39:29] "GET /engine.js HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 16:39:29] "GET /pou-controller.js HTTP/1.1" 200 -
